name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;367;0;464;3239;1531;3239;1628;0
header;163;183;163;215;1775;215;1775;183
A;960;250;960;277;982;277;982;250
B;1290;391;1290;410;1305;410;1305;391
A;557;783;557;783;559;783;559;783
B;965;921;965;947;984;947;984;921
B;1186;1376;1186;1402;1202;1402;1202;1376
C;967;1596;967;1623;987;1623;987;1596
A;539;1879;539;1882;542;1882;542;1879
A;1538;2228;1538;2229;1539;2229;1539;2228
D;971;2260;971;2286;991;2286;991;2260
A;467;2389;467;2389;467;2389;467;2389
A;1211;2785;1211;2785;1211;2785;1211;2785
C;1207;2818;1207;2846;1237;2846;1237;2818
A;968;2936;968;2936;968;2936;968;2936
