name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;278;0;278;3219;1826;3219;1826;0
header;200;190;200;222;1831;222;1831;190
A;1005;254;1005;281;1027;281;1027;254
A;1537;720;1537;737;1550;737;1550;720
B;1180;764;1180;782;1193;782;1193;764
B;1148;903;1148;921;1162;921;1162;903
B;1002;934;1002;961;1023;961;1023;934
C;998;1606;998;1634;1018;1634;1018;1606
A;778;1992;778;1993;779;1993;779;1992
D;994;2286;994;2313;1016;2313;1016;2286
A;697;2382;697;2387;702;2387;702;2382
A;1498;2591;1498;2591;1498;2591;1498;2591
B;698;2729;698;2745;722;2745;722;2729
